id,Composition,FormationEnergy
1,TlAgTe2,-0.04130647
2,Ac,0.012597523
3,Gd2AgRh,-0.524292652
4,EuAcAu2,-0.772733403
5,ZrAg2,-0.046823887
6,YbAg2,-0.338600167
7,AgC,2.237659356
8,RbAgO,-0.47402663
9,NaAgO,-0.767467509
10,MgAgSb,-0.233658935
11,AgC,2.257796476
12,InAg,0.033351505
13,KAgO,-0.602329634
14,AgN,1.538300399
15,AgN,1.532949019
16,CsAgC2,0.351342374
17,TiAg,-0.064920991
18,LiAg,-0.220867825
19,ScAg2,-0.30212525
20,LuAg2,-0.342223253
21,LaAg2,-0.303525261
22,RbAg3Se2,-0.429068982
23,Ag,0.011747485
24,AgSnF6,-2.287166275
25,TiAgF6,-2.858417947
26,NdAgAs2,-0.767997149
27,DyAgSb2,-0.613118149
28,GaAgO2,-1.597251788
29,YbAgSn,-0.576346572
30,Ac2O3,-3.760401578
31,CaAgSb,-0.702465676
32,PrMg2Ag,-0.127946045
33,SmMg2Ag,-0.11336461
34,ScAg,-0.27875396
35,ZrAg,-0.122969242
36,GaAg,0.049093848
37,BaAg,-0.281658079
38,CeAg,-0.06770289
39,Ag2O3,-0.205411181
40,LiAlAg2,-0.249576735
41,AgBF4,-2.597442068
42,AgB2,0.523627936
43,Ce(AgGe)2,-0.376133176
44,Ag3Pt,0.014294795
45,CaAgP,-0.765564668
46,NdAg,-0.259348942
47,AgSbTe2,-0.088096887
48,Ag,0
49,BaAg2,-0.296188878
50,Ag3PS4,-0.515546827
51,LuAgSn,-0.519345932
52,Ba3Ag2,-0.22478442
53,Be12Ag,0.100494216
54,NbAgO3,-2.164029907
55,KAg2,-0.014424186
56,AgO,-0.41202687
57,ErAgTe2,-0.899370889
58,YAgTe2,-0.927968294
59,Hf2Ag,-0.122014727
60,HfAg,-0.119732312
61,YbAgO2,-1.935501876
62,ErAgSn,-0.555344904
63,CaAg2,-0.302807603
64,CeAgPb,-0.335852867
65,Cs2AgF4,-2.364588215
66,KAgF3,-2.137765226
67,Ag2F,-0.866617905
68,Ba(AgGe)2,-0.335777058
69,AlAgSe2,-0.621158378
70,AlAgTe2,-0.359430665
71,K3Ag3As2,-0.369070261
72,EuAg2,-0.31303776
73,AgSb2F12,-2.410188143
